Geneid FLT1.bam FLT2.bam FLT3.bam GC1.bam GC2.bam GC3.bam
ENSMUSG00000102572 0 0 0 0 0 0
ENSMUSG00000023945 0 0 0 0 0 0
ENSMUSG00000117006 23 20 36 26 24 21
ENSMUSG00000099747 0 0 0 0 0 0
ENSMUSG00000117149 0 0 0 0 0 0
ENSMUSG00000090704 38 61 57 51 34 30
ENSMUSG00000117316 0 0 0 0 0 0
ENSMUSG00000089514 0 0 0 0 0 0
ENSMUSG00000117132 0 0 0 0 0 0
ENSMUSG00000117340 23 9 13 19 13 17
ENSMUSG00000117249 0 0 0 0 0 0
ENSMUSG00000117283 44 48 42 76 81 58
ENSMUSG00000090790 5 4 3 4 10 3
ENSMUSG00000117090 4 2 1 0 6 1
ENSMUSG00000024172 0 0 0 0 0 0
ENSMUSG00000024174 55 68 35 45 42 35
ENSMUSG00000117237 6 0 3 3 5 3
ENSMUSG00000036473 428 402 393 358 291 342
ENSMUSG00000117406 69 76 58 89 70 81
ENSMUSG00000024118 492 479 499 707 701 669
ENSMUSG00000072082 93 74 88 83 79 65
ENSMUSG00000093270 0 0 0 0 0 0
ENSMUSG00000099123 0 0 0 0 0 0
ENSMUSG00000035435 8 1 6 3 3 4
ENSMUSG00002075073 0 0 0 0 0 0
ENSMUSG00000037649 55 26 39 44 44 23
ENSMUSG00000024130 934 920 853 900 850 840
ENSMUSG00000118804 0 0 0 0 0 0
ENSMUSG00000037548 13 7 5 12 16 7
ENSMUSG00000079547 26 31 30 32 26 37
ENSMUSG00000034681 296 276 297 295 272 270
ENSMUSG00000096727 228 236 186 225 190 204
ENSMUSG00000024132 922 876 906 966 924 939
ENSMUSG00000024136 18 16 18 17 13 22
ENSMUSG00000037321 419 389 344 297 339 309
ENSMUSG00000024338 242 236 235 273 237 222
ENSMUSG00000092550 0 0 0 0 0 0
ENSMUSG00000024339 256 225 241 203 199 157
ENSMUSG00000081512 6 2 1 1 0 1
ENSMUSG00000024137 118 94 94 98 84 92
ENSMUSG00000043445 140 105 112 119 105 94
ENSMUSG00000041538 19 22 27 21 18 12
ENSMUSG00000073421 250 283 239 284 263 237
ENSMUSG00000024142 47 58 59 59 50 52
ENSMUSG00000036594 213 248 270 241 272 299
ENSMUSG00000045744 0 0 0 0 0 0
ENSMUSG00000117487 0 0 0 0 0 0
ENSMUSG00000060586 193 269 212 227 220 222
ENSMUSG00000033597 4 4 2 2 4 1
ENSMUSG00000057246 0 2 2 0 1 0
ENSMUSG00000052752 176 182 175 195 137 128
ENSMUSG00000079657 0 0 0 0 1 0
ENSMUSG00000064768 0 0 0 0 0 0
ENSMUSG00000117423 0 0 0 0 0 0
ENSMUSG00000032855 282 286 278 330 325 290
ENSMUSG00002076170 0 0 0 0 0 0
ENSMUSG00000024207 0 0 0 0 0 0
ENSMUSG00000002658 130 150 144 141 167 165
ENSMUSG00000109739 1 0 0 0 1 0
ENSMUSG00000007670 629 594 569 517 530 534
ENSMUSG00000011486 0 0 0 0 0 0
ENSMUSG00000091390 2 2 6 6 3 0
ENSMUSG00000046329 2939 2952 2923 3720 3729 3611
ENSMUSG00000044279 98 115 98 109 77 98
ENSMUSG00000002668 60 74 72 59 55 47
ENSMUSG00000117297 0 0 1 0 1 2
ENSMUSG00000062591 9 5 7 5 3 3
ENSMUSG00000035678 0 0 2 0 2 2
ENSMUSG00000117064 0 0 0 0 0 0
ENSMUSG00000019489 0 0 0 0 0 0
ENSMUSG00000005824 1 1 1 7 6 0
ENSMUSG00000024164 115948 114346 111560 123753 122831 121052
ENSMUSG00000099066 0 0 0 0 0 0
ENSMUSG00000005823 182 188 192 221 246 222
ENSMUSG00000019487 82 76 80 66 67 68
ENSMUSG00000118457 0 0 0 0 0 0
ENSMUSG00000002496 597 558 549 629 541 582
ENSMUSG00000041429 40 29 31 34 59 44
ENSMUSG00000002504 171 165 159 128 164 168
ENSMUSG00000034116 74 49 50 40 31 60
ENSMUSG00000038048 0 0 0 0 0 0
